Total Elapsed time for 67108864 elements is 
Offset ElapsedTime
     1 0.43929601
     2 0.44031999
     3 0.44031999
     4 0.44134399
     5 0.43929601
     6 0.43929601
     7 0.43929601
     8 0.49664000
     9 0.43929601
    10 0.43929601
    11 0.44031999
    12 0.43929601
    13 0.44031999
    14 0.43929601
    15 0.43929601
    16 0.79564798
    17 0.43929601
    18 0.43827200
    19 0.43929601
    20 0.43929601
    21 0.43929601
    22 0.44031999
    23 0.43827200
    24 0.49766400
    25 0.43827200
    26 0.43929601
    27 0.44031999
    28 0.44134399
    29 0.44031999
    30 0.44031999
    31 0.44031999
    32 1.45100796
